Номер,Название,Город,Адрес,Период,Иконка,Состояние
661710747710006,Могила Бажова Павла Петровича (1879-1950),Екатеринбург,"г. Екатеринбург, Ивановское кладбище",с 1900 до 1920,Монумент,Хорошее
661710750740005,Здание Епархиального женского училища,Екатеринбург,"г. Екатеринбург, пер. Университетский, д. 9",с 1900 до 1920,Дворец,Хорошее
661710751310005,"Дом бывшего управителя Кушвинского чугунолитейного завода, где в 1848-1852 гг. жил инженер металлург П.М. Обухов",Кушва,"г. Кушва, ул. Первомайская, д. 36",с 1850 до 1880,Завод,Удовлетворительное
661710751320005,Здание бывшего казначейства,Ирбит,"г. Ирбит, ул. Ленина, д. 17",с 1850 до 1880,Домик,Удовлетворительное
661710751330005,"Деревянное здание, украшенное резьбой",Ирбит,"г. Ирбит, ул. Ленина, д. 30",с 1880 до 1900,Изба,Удовлетворительное
661710751340005,Каменный 2-этажный особняк конца XIX в.,Ирбит,"г. Ирбит, ул. Ленина, д. 41",с 1880 до 1900,Домик,Хорошее
661710751350005,Каменное здание - бывший винокуренный завод,Ирбит,"г. Ирбит, ул. Карла Маркса, д. 124",с 1800 до 1850,Завод,Удовлетворительное
661710751360005,Бывший дом Мурзиной,Ирбит,"г. Ирбит, ул. Володарского, д. 8",с 1850 до 1880,Домик,Хорошее
661710751370005,Здание - образец жилищного строительства конца XIX в.,Ирбит,"г. Ирбит, ул. Володарского, д. 7",с 1850 до 1880,Домик,Хорошее
661710751380005,Здание - образец городского жилищного строительства середины XIX в.,Ирбит,"г. Ирбит, ул. Карла Либкнехта, д. 9",с 1800 до 1850,Домик,Хорошее
661710751390005,Бывший дом купца Кондырева,Ирбит,"г. Ирбит, ул. Карла Либкнехта, д. 11",с 1800 до 1850,Домик,Руины
661710751400015,Ворота,Ирбит,"г. Ирбит, ул. Карла Маркса, д. 37",с 1880 до 1900,Ворота,Хорошее
661710751410005,"Здание, в котором в 1918 г. проходили первые заседания Ирбитского уездного исполнительного комитета Совета рабочих, крестьянских и солдатских депутатов, помещалась чрезвычайная комиссия Уралоблсовета",Ирбит,"г. Ирбит, ул. Орджоникидзе, д. 30",с 1900 до 1920,Домик,Удовлетворительное
661710751420005,Бывший дом купца Зязина,Ирбит,"г. Ирбит, ул. Орджоникидзе, д. 32",с 1800 до 1850,Домик,Удовлетворительное
661710751430005,Бывшая лавка купца Зязина,Ирбит,"г. Ирбит, ул. Орджоникидзе, д. 34",с 1800 до 1850,Домик,Удовлетворительное
661710751440005,"Двухэтажный каменный особняк, украшенный резьбой",Ирбит,"г. Ирбит, ул. Орджоникидзе, д. 38",с 1800 до 1850,Домик,Плохое
661710751450005,Доходный дом Кузнецовой в стиле модерн,Екатеринбург,"г. Екатеринбург, ул. Розы Люксембург, д. 16",с 1900 до 1920,Дворец,Хорошее
661710751460005,"Дом, в котором в 1907-1908 гг. находилась подпольная типография большевиков",Екатеринбург,"г. Екатеринбург, ул. Синяева, д. 60",с 1900 до 1920,Домик,Не существует
661710751470005,"Дом, в котором в июне 1917 г. помещалась первая легальная большевистская типография ""Прибой"", с 6 сентября 1917 г. печаталась газета ""Уральский рабочий""",Екатеринбург,"г. Екатеринбург, ул. Сони Морозовой, д. 192",с 1900 до 1920,Домик,Не существует
661710751480005,"Дом, в котором в 1914-1916 гг. размещалась больничная касса ВИЗа, где секретарем работал И.М. Малышев",Утрачен,Утрачен,с 1900 до 1920,Домик,Не доступен
