Номер,Название,Город,Адрес,Период,Иконка,Состояние
661610735370005,Здание бывшего Совнархоза,Екатеринбург,"г. Екатеринбург, проспект Ленина, д. 51",с 1940 до 1960,Многоэтажка,Хорошее
661610735400005,Дом мещанина Н.В. Лазарева,Екатеринбург,"г. Екатеринбург, ул. Вайнера, д. 30",с 1880 до 1900,Домик,Хорошее
661610735420005,Особняк мещанина П.Ф. Блинова,Екатеринбург,"г. Екатеринбург, ул. Вайнера, д. 38",с 1880 до 1900,Домик,Хорошее
661610735430005,"Здание химико-технологического факультета Уральского лесотехнического института, где в 1930-1967 гг. работал ученый лесохимик В.Н. Козлов",Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 79",с 1940 до 1960,Дворец,Руины
661610735450005,Дом жилой,Екатеринбург," г. Екатеринбург, проспект Ленина, д. 58",с 1940 до 1960,Многоэтажка,Хорошее
661610735460005,Дом жилой,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 60",с 1940 до 1960,Многоэтажка,Удовлетворительное
661610735490005,Здание первого городского театра,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 43/ул. Карла Либкнехта, д. 15",с 1900 до 1920,Дворец,Удовлетворительное
661610736070005,Здание Духовного училища. Учебный корпус Свердловского института народного хозяйства,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 62 / ул. Народной Воли, д. 45",с 1850 до 1880,Дворец,Хорошее
661610736090005,Дом купца О.К. Козицына,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 3",с 1800 до 1850,Домик,Удовлетворительное
661610736100005,Доходный дом купца Чувильдина,Екатеринбург,"г. Екатеринбург, ул. Горького, д. 14",с 1900 до 1920,Домик,Хорошее
661610736200005,Дом жилой,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 46",с 1940 до 1960,Многоэтажка,Удовлетворительное
661610736940005,Здание театра музыкальной комедии,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 47/ул. Карла Либкнехта, д. 20",с 1940 до 1960,Дворец,Хорошее
661610736950004,Дом жилой,Екатеринбург,"г. Екатеринбург, пр. Ленина, 29/ул. Володарского, д. 2",с 1920 до 1940,Многоэтажка,Удовлетворительное
661610737020005,Дом жилой,Екатеринбург,"г. Екатеринбург, проспект Ленина, д. 22-а",с 1940 до 1960,Многоэтажка,Хорошее
661610737140005,Дом У.О. Петелиной,Екатеринбург,"г. Екатеринбург, ул. Добролюбова, д. 14",с 1800 до 1850,Домик,Удовлетворительное
661610737190005,Особняк фабриканта И.Ф. Круковского,Екатеринбург,"г. Екатеринбург, ул. Карла Либкнехта, д. 45, литера А",с 1900 до 1920,Завод,Удовлетворительное
661610737330005,Здание Нуровского приюта с домовой церковью,Екатеринбург,"г. Екатеринбург, ул. Куйбышева, д. 39/ул. Хохрякова, д. 83, литера Е",с 1850 до 1880,Церковь,Хорошее
661610747140005,Церковь,Нижнесергинский район,"Нижнесергинский район, с. Кленовское, ул. Ленина, д. 79",до 1800,Церковь,Руины
661610747720005,Зерновой амбар общинного пользования,Гаринский район,"Гаринский район, д. Петрова",с 1900 до 1920,Амбар,Не доступен
661610747740005,Клетская изба В.И. Серовой,Гаринский район,"Гаринский район, д. Линты, д. 1а",с 1850 до 1880,Изба,Не доступен
661610747750005,Церковь,Гаринский район,"Гаринский район, с. Андрюшино, ул. Советская, д. 18а",с 1900 до 1920,Церковь,Плохое
661610747760005,Зерновой однокамерный амбар (житница),Гаринский район,"Гаринский район, д. Зыкова, ул. Новая, д. 12а",с 1880 до 1900,Амбар,Не доступен
661610747780006,"Здание Оперного театра, в котором 8 ноября (26 октября) 1917 г. на открытом заседании Екатеринбургский Совет рабочих и солдатских депутатов провозгласил установление советской власти в городе и на Урале",Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 46а",с 1900 до 1920,Дворец,Хорошее
661610747790006,Дом жилой,Екатеринбург,"г. Екатеринбург, ул. Карла Маркса, д. 20",с 1900 до 1920,Изба,Удовлетворительное
661610747800005,Здание административное,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 34 (ул. Пушкина, д. 11)",с 1940 до 1960,Многоэтажка,Хорошее
661610747810006,"Здание бывшего Окружного суда, где в 1918 г. находился первый в стране Уральский комиссариат труда",Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 35",с 1850 до 1880,Дворец,Хорошее
661610747820005,Доходный дом М.М. Денисова,Екатеринбург,"г. Екатеринбург, ул. Вайнера, д. 72 / ул. Куйбышева, д. 45",с 1900 до 1920,Домик,Хорошее
661610756650005,Здание Горсовета,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 24-а",с 1940 до 1960,Многоэтажка,Хорошее
661610944170005,Особняк,Екатеринбург,"г. Екатеринбург, ул. Кирова, д. 1",с 1850 до 1880,Домик,Удовлетворительное
